RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0173900,LOC_Os01g07870,leaf epidermis,Leaf,OsABCC3,PCMDB
Os01g0174900,LOC_Os01g07950,leaf mesophyll,Leaf,OsGRX1,PCMDB
Os01g0175000,LOC_Os01g07960,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0175000,PCMDB
Os01g0175100,LOC_Os01g07970,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0175100,PCMDB
Os01g0176000,LOC_Os01g08090,"leaf epidermis,leaf mesophyll",Leaf,OsUGT98B1,PCMDB
Os01g0177900,LOC_Os01g08260,leaf epidermis,Leaf,PDR6,PCMDB
Os01g0178000,LOC_Os01g08270,"leaf mesophyll,leaf procambium",Leaf,P0509B06.2-1,PCMDB
Os01g0178500,LOC_Os01g08320,leaf mesophyll,Leaf,OsIAA1,PCMDB
Os01g0179000,LOC_Os01g08380,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsAT6,PCMDB
Os01g0179300,LOC_Os01g08410,mestome sheath,Leaf,BIP128,PCMDB
Os01g0179500,LOC_Os01g08430,leaf procambium,Leaf,Os01g0179500,PCMDB
Os01g0179600,LOC_Os01g08440,"leaf epidermis,leaf procambium,Mesophyll precursor",Leaf,OsUGT75K1,PCMDB
Os01g0180300,LOC_Os01g08510,leaf mesophyll,Leaf,Os01g0180300,PCMDB
Os01g0181300,LOC_Os01g08600,"leaf epidermis,leaf mesophyll",Leaf,Os01g0181300,PCMDB
Os01g0182200,LOC_Os01g08660,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsSIP1,PCMDB
Os01g0182300,LOC_Os01g08670,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0182300,PCMDB
Os01g0183000,LOC_Os01g08760,"leaf mesophyll,mestome sheath",Leaf,Os01g0183000,PCMDB
Os01g0184100,LOC_Os01g08860,"leaf mesophyll,leaf epidermis,mestome sheath",Leaf,OsHsp18.0,PCMDB
Os01g0184800,LOC_Os01g08960,leaf mesophyll,Leaf,Os01g0184800,PCMDB
Os01g0184900,LOC_Os01g08970,leaf procambium,Leaf,BIP104,PCMDB
Os01g0185200,LOC_Os01g09000,mestome sheath,Leaf,P0510F03.13-1,PCMDB
Os01g0185400,LOC_Os01g09020,"leaf epidermis,leaf mesophyll",Leaf,OsWD40-6,PCMDB
Os01g0185500,LOC_Os01g09030,"mestome sheath,leaf procambium",Leaf,Os01g0185500,PCMDB
Os01g0185900,LOC_Os01g09080,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsWRKY107,PCMDB
Os01g0186200,LOC_Os01g09120,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0510F03.29-1,PCMDB
Os01g0186600,LOC_Os01g09190,vascular leaf,Leaf,Os01g0186600,PCMDB
Os01g0186700,LOC_Os01g09200,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0186700,PCMDB
